University,Negative Rules,
CU,,
CWR,,
DU,,
GTECH,TN,FL
GW,,
HARV,,
KU,,
MIAMI,,
MINN,,
NU,,
OSU,,
PENN,,
RUT,,
SMU,,
UA,,
UCB,,
UCD,,
UCF,,
UCI,,
UCLA,,
UCSD,,
UMASS,,
UMICH,,
UNC,,
UNCH,,
UNH,,
UP,NJ,
UR,,
UT,,
UTAH,,
UTSA,,
UW,,
VAND,,
WASHU,IL,
