,CityState,University,Uni CityState,Distance,Closest,City,City Lat,City Lng,Distance_Text,State,Time,Time_Text,Uni Lat,Uni Lng,Population,White Population,Black Population,Native American Population,Asian Population,Hispanic Population,Education None,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Poverty,Employment Labor Force,Employment Unemployed,Employment Male Computer Engineering,Employment Female Computer Engineering,Median Age,Median Male Age,Median Female Age,Household Income,Income Per Capita,Median Gross Rent,Median Home Value,Impressions,CPC,CTR,Cost
9567,"FURMAN, SC",GTECH,"SAVANNAH, GA",41.5010376370098,1,FURMAN,32.682581,-81.172909,46.3 mi,SC,3263.0,54 mins,32.0835,-81.0998,255.0,42.0,213.0,0.0,0.0,0.0,3.0,96.0,2.0,8.0,4.0,3.0,0.0,0.0,54.0,111.0,16.0,0.0,0.0,50.5,52.4,40.6,30179.0,15530.0,475.0,47000.0,,,,
9568,"FYFFE, AL",GTECH,"ATLANTA, GA",100.396349790166,1,FYFFE,34.455491,-85.945131,136 mi,AL,9417.0,2 hours 37 mins,33.7756178,-84.396285,5214.0,4692.0,64.0,331.0,37.0,25.0,111.0,1004.0,184.0,356.0,191.0,182.0,5.0,0.0,731.0,2289.0,167.0,17.0,3.0,37.1,33.1,41.3,39129.0,18875.0,602.0,97600.0,,,,
9571,"GABLE, SC",GTECH,"SAVANNAH, GA",134.914407783951,1,GABLE,33.861626,-80.127828,144 mi,SC,7439.0,2 hours 4 mins,32.0835,-81.0998,2083.0,836.0,1216.0,0.0,0.0,162.0,7.0,216.0,217.0,84.0,46.0,11.0,0.0,0.0,144.0,387.0,22.0,4.0,0.0,27.6,26.4,43.1,41033.0,8833.0,,91800.0,,,,
9574,"GADSDEN, AL",GTECH,"ATLANTA, GA",90.3855813102262,1,GADSDEN,33.9992894,-85.9457088,120 mi,AL,7577.0,2 hours 6 mins,33.7756178,-84.396285,66610.0,50179.0,13850.0,189.0,583.0,2539.0,920.0,11576.0,2873.0,3882.0,4974.0,1883.0,612.0,350.0,13547.0,28921.0,2427.0,485.0,91.0,41.54,39.48,43.44,43609.2,21643.6,632.4,103040.0,4.6,6.66,0.051,1.53
9585,"GAINESTOWN, AL",GTECH,"ATLANTA, GA",249.549358291513,1,GAINESTOWN,31.448949,-87.675843,,AL,,,33.7756178,-84.396285,802.0,321.0,481.0,0.0,0.0,0.0,10.0,214.0,53.0,0.0,3.0,6.0,0.0,0.0,299.0,296.0,43.0,5.0,0.0,35.5,34.5,35.8,,14557.0,,81200.0,,,,
9586,"GAINESVILLE, AL",GTECH,"ATLANTA, GA",227.535469922152,1,GAINESVILLE,32.80613,-88.15459,,AL,,,33.7756178,-84.396285,536.0,73.0,411.0,0.0,52.0,0.0,0.0,135.0,13.0,9.0,52.0,17.0,0.0,0.0,218.0,193.0,0.0,13.0,0.0,34.6,42.5,30.8,19821.0,13452.0,332.0,,,,,
9588,"GAINESVILLE, GA",GTECH,"ATLANTA, GA",47.8917899868225,1,GAINESVILLE,34.2963775,-83.843716,52.5 mi,GA,4731.0,1 hour 19 mins,33.7756178,-84.396285,123965.0,100957.0,10374.0,232.0,2258.0,39696.0,1856.0,17012.0,4434.0,4343.0,10396.0,4380.0,1634.0,747.0,25921.0,59485.0,4602.0,994.0,465.0,33.675,32.55,34.6,46655.0,22012.0,849.25,148000.0,11.37,13.11,0.037,5.37
9619,"GALLANT, AL",GTECH,"ATLANTA, GA",107.434443784747,1,GALLANT,33.993999,-86.24687,148 mi,AL,8971.0,2 hours 30 mins,33.7756178,-84.396285,1014.0,1014.0,0.0,0.0,0.0,0.0,7.0,193.0,25.0,52.0,91.0,36.0,0.0,33.0,29.0,539.0,41.0,0.0,0.0,38.2,33.9,43.0,60057.0,24993.0,,120100.0,,,,
9627,"GALLION, AL",GTECH,"ATLANTA, GA",213.249563345687,1,GALLION,32.467872,-87.729452,,AL,,,33.7756178,-84.396285,1683.0,844.0,790.0,13.0,0.0,36.0,32.0,506.0,86.0,153.0,32.0,39.0,15.0,0.0,146.0,788.0,71.0,8.0,0.0,52.4,53.1,51.9,34203.0,21774.0,646.0,72100.0,,,,
9657,"GANTT, AL",GTECH,"ATLANTA, GA",202.331291971813,1,GANTT,31.435078,-86.491253,,AL,,,33.7756178,-84.396285,68.0,7.0,61.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,32.0,12.0,0.0,0.0,42.6,45.1,42.5,48393.0,17716.0,,73900.0,,,,
9683,"GARDENDALE, AL",GTECH,"ATLANTA, GA",141.286853309078,1,GARDENDALE,33.694975,-86.848078,166 mi,AL,9337.0,2 hours 36 mins,33.7756178,-84.396285,15763.0,13360.0,2074.0,67.0,188.0,89.0,53.0,3351.0,379.0,953.0,1722.0,722.0,219.0,96.0,1113.0,7905.0,360.0,366.0,47.0,42.7,41.2,43.7,56967.0,29328.0,873.0,159400.0,0.69,18.45,0.088,1.11
9698,"GARFIELD, GA",GTECH,"SAVANNAH, GA",71.301407356546,1,GARFIELD,32.682022,-82.094572,88.1 mi,GA,5315.0,1 hour 29 mins,32.0835,-81.0998,1315.0,968.0,315.0,0.0,20.0,0.0,5.0,294.0,44.0,75.0,132.0,29.0,9.0,0.0,288.0,656.0,18.0,13.0,0.0,41.5,40.4,42.0,31078.0,18748.0,486.0,75900.0,,,,
9722,"GARNETT, SC",GTECH,"SAVANNAH, GA",38.7845326247092,1,GARNETT,32.625831,-81.277273,45.2 mi,SC,3289.0,55 mins,32.0835,-81.0998,1101.0,239.0,827.0,0.0,0.0,0.0,0.0,404.0,0.0,52.0,0.0,55.0,0.0,0.0,223.0,498.0,118.0,0.0,0.0,37.2,36.2,37.5,31193.0,18756.0,,35400.0,,,,
